"행정구역","2023년06월_남_총인구수","2023년06월_남_연령구간인구수","2023년06월_남_0~9세","2023년06월_남_10~19세","2023년06월_남_20~29세","2023년06월_남_30~39세","2023년06월_남_40~49세","2023년06월_남_50~59세","2023년06월_남_60~69세","2023년06월_남_70~79세","2023년06월_남_80~89세","2023년06월_남_90~99세","2023년06월_남_100세 이상","2023년06월_여_총인구수","2023년06월_여_연령구간인구수","2023년06월_여_0~9세","2023년06월_여_10~19세","2023년06월_여_20~29세","2023년06월_여_30~39세","2023년06월_여_40~49세","2023년06월_여_50~59세","2023년06월_여_60~69세","2023년06월_여_70~79세","2023년06월_여_80~89세","2023년06월_여_90~99세","2023년06월_여_100세 이상"
"경상남도 밀양시 내이동(4827052000)","8,721","8,721","704","782","1,065","1,267","1,392","1,530","1,251","530","183","17","0","8,795","8,795","731","712","848","1,112","1,307","1,474","1,451","705","390","64","1"
"경상남도 밀양시 삼문동(4827053000)","9,386","9,386","752","1,312","1,066","870","1,583","1,593","1,304","642","247","17","0","10,220","10,220","738","1,199","827","905","1,759","1,812","1,533","848","509","89","1"
"경상남도 밀양시 가곡동(4827054000)","3,570","3,570","159","268","375","311","481","648","755","383","170","20","0","4,007","4,007","143","271","291","291","473","666","823","589","404","56","0"
"경상남도 밀양시 교동(4827055000)","2,573","2,573","116","214","286","261","354","513","512","240","71","6","0","2,765","2,765","130","232","224","210","358","534","597","300","161","17","2"
"경상남도 거제시 (4831000000)","122,764","122,764","10,366","14,707","11,623","14,199","24,865","22,873","15,920","6,170","1,872","164","5","111,926","111,926","9,672","13,488","8,714","13,307","21,480","18,966","15,171","6,482","3,851","775","20"
"경상남도 거제시 일운면(4831031000)","4,076","4,076","238","309","344","351","632","871","854","348","119","10","0","3,952","3,952","224","309","252","334","572","772","805","363","261","60","0"
"경상남도 거제시 동부면(4831032000)","1,566","1,566","34","71","96","111","169","309","427","238","103","8","0","1,433","1,433","29","51","62","77","112","257","373","257","181","34","0"
"경상남도 거제시 남부면(4831033000)","773","773","12","33","42","45","64","171","227","124","52","3","0","742","742","8","24","20","26","60","123","189","152","111","28","1"
"경상남도 거제시 거제면(4831034000)","3,512","3,512","162","275","261","247","507","681","769","415","177","18","0","3,594","3,594","162","261","214","238","411","612","774","464","368","88","2"
"경상남도 거제시 둔덕면(4831035000)","1,399","1,399","21","61","116","71","146","271","380","237","82","14","0","1,328","1,328","20","48","67","52","92","215","372","239","189","32","2"
"경상남도 거제시 사등면(4831036000)","5,867","5,867","505","626","409","618","1,206","1,034","875","437","145","12","0","5,429","5,429","496","579","296","622","973","850","817","457","273","64","2"
"경상남도 거제시 사등면가조출장소(4831036600)","536","536","14","21","28","33","58","114","158","89","21","0","0","513","513","16","14","19","24","37","86","160","85","64","8","0"
"경상남도 거제시 연초면(4831037000)","4,277","4,277","182","335","381","395","705","963","853","327","122","14","0","3,458","3,458","164","270","239","283","494","679","701","337","236","54","1"
"경상남도 거제시 하청면(4831038000)","1,726","1,726","69","144","107","116","248","328","386","230","91","7","0","1,617","1,617","67","96","110","104","171","263","382","213","165","45","1"
"경상남도 거제시 하청면칠천출장소(4831038500)","531","531","10","14","17","27","57","117","151","92","43","3","0","500","500","8","11","11","23","34","70","126","115","76","25","1"
"경상남도 거제시 장목면(4831039000)","1,497","1,497","30","50","100","83","196","299","381","254","95","7","2","1,444","1,444","22","36","61","62","107","237","347","282","239","47","4"
"경상남도 거제시 장목면외포출장소(4831039500)","675","675","16","37","37","45","82","149","175","86","44","4","0","660","660","14","26","30","36","62","107","165","124","84","12","0"
"경상남도 거제시 장승포동(4831051000)","3,009","3,009","133","283","354","279","560","640","520","193","46","1","0","2,500","2,500","114","273","240","181","402","481","445","210","137","17","0"
"경상남도 거제시 능포동(4831053000)","4,765","4,765","209","435","478","370","801","1,086","919","359","94","13","1","4,027","4,027","157","378","331","304","592","848","848","354","183","32","0"
"경상남도 거제시 아주동(4831054000)","14,083","14,083","1,811","2,004","1,224","2,193","3,673","1,994","880","252","48","4","0","12,094","12,094","1,675","1,857","897","2,094","2,881","1,431","840","264","135","20","0"
"경상남도 거제시 옥포1동(4831055000)","3,615","3,615","235","346","377","432","704","734","547","197","38","5","0","3,211","3,211","190","313","283","357","559","627","589","204","76","13","0"
"경상남도 거제시 옥포2동(4831056000)","13,003","13,003","959","1,558","1,267","1,458","2,559","2,560","1,908","611","120","3","0","11,920","11,920","872","1,385","998","1,330","2,188","2,346","1,919","573","263","44","2"
"경상남도 거제시 장평동(4831057000)","11,661","11,661","718","1,099","1,489","1,764","2,469","2,515","1,223","310","68","5","1","8,994","8,994","670","964","1,006","1,125","1,736","1,897","1,124","313","133","26","0"
"경상남도 거제시 고현동(4831058000)","17,774","17,774","1,428","2,234","1,971","2,152","3,410","3,388","2,241","742","192","15","1","16,889","16,889","1,290","2,130","1,559","2,058","3,296","3,052","2,309","793","346","55","1"
"경상남도 거제시 상문동(4831059000)","16,780","16,780","2,180","2,746","1,419","2,249","3,972","2,626","1,131","349","99","9","0","16,350","16,350","2,187","2,595","1,167","2,526","3,890","2,297","1,098","380","168","40","2"
"경상남도 거제시 수양동(4831060000)","11,639","11,639","1,400","2,026","1,106","1,160","2,647","2,023","915","280","73","9","0","11,271","11,271","1,287","1,868","852","1,451","2,811","1,716","788","303","163","31","1"
"경상남도 양산시 (4833000000)","177,495","177,495","15,191","18,164","19,214","23,185","31,471","30,310","24,879","10,858","3,920","297","6","177,153","177,153","14,392","17,380","16,509","21,660","30,339","30,298","25,572","12,910","7,005","1,053","35"
"경상남도 양산시 물금읍(4833025300)","59,180","59,180","6,955","7,057","6,288","9,035","11,824","8,585","6,186","2,467","724","58","1","60,602","60,602","6,667","6,833","6,229","9,339","11,612","9,024","6,498","2,769","1,391","230","10"
"경상남도 양산시 동면(4833031000)","22,136","22,136","2,722","1,978","1,940","3,809","4,414","3,078","2,656","1,181","334","24","0","21,662","21,662","2,536","1,826","1,705","3,701","3,993","3,098","2,987","1,147","577","89","3"
"경상남도 양산시 원동면(4833032000)","1,691","1,691","47","57","76","99","143","275","536","334","116","8","0","1,643","1,643","34","56","53","74","103","242","497","315","228","39","2"
"경상남도 양산시 상북면(4833033000)","6,173","6,173","210","357","580","556","740","1,268","1,530","660","246","26","0","5,946","5,946","191","363","399","399","645","1,169","1,407","805","492","72","4"
"경상남도 양산시 하북면(4833034000)","4,089","4,089","68","256","389","298","433","841","1,099","500","188","17","0","3,811","3,811","61","228","248","204","351","803","997","494","336","84","5"
"경상남도 양산시 중앙동(4833051000)","5,812","5,812","180","299","690","697","769","1,196","1,255","527","182","17","0","5,184","5,184","178","245","489","467","586","1,036","1,234","597","301","50","1"
"경상남도 양산시 양주동(4833051500)","15,207","15,207","979","1,956","2,133","1,468","2,334","3,017","1,963","906","424","26","1","16,388","16,388","884","1,843","1,855","1,409","2,883","3,372","2,123","1,299","647","72","1"
"경상남도 양산시 삼성동(4833052000)","11,024","11,024","599","797","1,475","1,644","1,751","2,085","1,867","601","189","16","0","9,881","9,881","499","758","1,001","1,140","1,466","2,127","1,699","704","416","69","2"
"경상남도 양산시 강서동(4833053000)","4,377","4,377","250","456","520","482","795","839","652","287","90","6","0","4,353","4,353","270","527","433","388","767","776","650","316","189","37","0"
"경상남도 양산시 서창동(4833054000)","14,467","14,467","885","1,693","1,584","1,558","2,668","2,838","2,054","876","297","11","3","13,237","13,237","882","1,530","1,263","1,223","2,388","2,431","1,950","990","508","71","1"
"경상남도 양산시 소주동(4833055000)","9,864","9,864","570","856","1,043","1,035","1,643","1,982","1,659","743","310","23","0","9,941","9,941","531","837","857","913","1,563","1,899","1,675","989","597","78","2"
"경상남도 양산시 평산동(4833056000)","14,576","14,576","968","1,566","1,572","1,344","2,530","2,714","2,087","1,191","563","40","1","15,342","15,342","880","1,579","1,219","1,295","2,538","2,617","2,443","1,742","911","117","1"
"경상남도 양산시 덕계동(4833057000)","8,899","8,899","758","836","924","1,160","1,427","1,592","1,335","585","257","25","0","9,163","9,163","779","755","758","1,108","1,444","1,704","1,412","743","412","45","3"
"경상남도 양산시웅상출장소 (4833200000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도 의령군 (4872000000)","12,834","12,834","483","732","907","818","1,445","2,388","3,302","1,736","913","105","5","12,972","12,972","400","638","602","715","1,095","1,889","2,808","2,093","2,272","448","12"
